"","end_hour","subscriber","customer","total"
"1","00:00",14395,7011,21406
"2","01:00",8511,5494,14005
"3","02:00",5427,4114,9541
"4","03:00",2322,1486,3808
"5","04:00",2056,810,2866
"6","05:00",9713,1313,11026
"7","06:00",33075,2827,35902
"8","07:00",91780,6891,98671
"9","08:00",187834,14585,202419
"10","09:00",131449,14805,146254
"11","10:00",75408,17047,92455
"12","11:00",74039,23861,97900
"13","12:00",87773,31772,119545
"14","13:00",86535,36065,122600
"15","14:00",82002,38297,120299
"16","15:00",93827,41883,135710
"17","16:00",141489,44266,185755
"18","17:00",212978,51034,264012
"19","18:00",172193,45723,217916
"20","19:00",120605,35263,155868
"21","20:00",82934,25059,107993
"22","21:00",59980,17810,77790
"23","22:00",41648,14239,55887
"24","23:00",26278,11640,37918
