"","start_hour","subscriber","customer","total"
"1","00:00",12752,6047,18799
"2","01:00",7851,5206,13057
"3","02:00",4841,3218,8059
"4","03:00",1835,950,2785
"5","04:00",2371,714,3085
"6","05:00",12168,1474,13642
"7","06:00",40364,3673,44037
"8","07:00",112116,8681,120797
"9","08:00",193990,17014,211004
"10","09:00",112356,16427,128783
"11","10:00",72272,21810,94082
"12","11:00",77060,28690,105750
"13","12:00",88803,34987,123790
"14","13:00",85193,37652,122845
"15","14:00",83563,39832,123395
"16","15:00",98919,41859,140778
"17","16:00",156537,44979,201516
"18","17:00",217103,50380,267483
"19","18:00",159706,40982,200688
"20","19:00",110603,30009,140612
"21","20:00",76813,20059,96872
"22","21:00",55424,15570,70994
"23","22:00",38457,13291,51748
"24","23:00",23154,9791,32945
