"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"19",452,"2018-10-01 00:21:16.3190","2018-10-01 00:28:48.5310",55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,3583,"Subscriber",1986,2
"1573",628,"2018-10-01 08:34:31.4560","2018-10-01 08:44:59.4970",54,"Tremont St at West St",42.354979,-71.063348,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,4184,"Subscriber",1965,2
"2202",698,"2018-10-01 09:25:43.6310","2018-10-01 09:37:21.8970",199,"Upham's Corner T Stop - Magnolia St at Dudley St",42.3186973417224,-71.0697814822197,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,3536,"Customer",1993,1
"2558",824,"2018-10-01 10:21:37.5480","2018-10-01 10:35:22.4320",117,"Binney St / Sixth St",42.3661622345992,-71.08688293667,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,3849,"Customer",1990,1
"2619",1532,"2018-10-01 10:37:54.0110","2018-10-01 11:03:26.0970",133,"Green Street T Stop - Green St at Amory St",42.310579,-71.107341,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2474,"Customer",1996,1
"2636",384,"2018-10-01 10:41:55.1670","2018-10-01 10:48:19.7320",27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,3823,"Customer",1969,0
"2808",239,"2018-10-01 11:15:56.3890","2018-10-01 11:19:56.0800",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2854,"Subscriber",1990,2
"3185",583,"2018-10-01 12:26:19.9480","2018-10-01 12:36:03.2570",138,"Newmarket Square T Stop - Massachusetts Ave at Newmarket Square",42.326599,-71.066498,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2375,"Subscriber",1990,2
"3338",311,"2018-10-01 12:48:46.9980","2018-10-01 12:53:58.4390",55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2498,"Subscriber",1998,1
"3772",688,"2018-10-01 14:07:47.2850","2018-10-01 14:19:15.9890",56,"Dudley Square - Dudley St at Warren St",42.328540462934,-71.084164828062,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2014,"Subscriber",1990,1
"4019",1088,"2018-10-01 14:55:28.9760","2018-10-01 15:13:37.6050",105,"Lower Cambridgeport at Magazine St / Riverside Rd",42.3572185031765,-71.1138716340065,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,2612,"Subscriber",1964,1
"4082",784,"2018-10-01 14:54:30.9910","2018-10-01 15:07:35.8020",11,"Longwood Ave at Binney St",42.338629,-71.1065,57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,3558,"Subscriber",1990,2
