"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"136",277,"2018-10-01 05:21:35.0930","2018-10-01 05:26:12.3300",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,13,"Boston Medical Center - E Concord St at Harrison Ave",42.336437,-71.073089,3499,"Subscriber",1991,1
"169",671,"2018-10-01 05:49:24.9360","2018-10-01 06:00:36.1330",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,35,"Arch St at Franklin St",42.3553350194126,-71.0582291708306,2236,"Subscriber",1988,1
"207",969,"2018-10-01 06:13:40.7170","2018-10-01 06:29:49.8740",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,218,"Watermark Seaport - Boston Wharf Rd at Seaport Blvd",42.3515860011985,-71.0456925630569,4009,"Subscriber",1988,1
"217",220,"2018-10-01 06:17:17.0070","2018-10-01 06:20:57.4560",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,13,"Boston Medical Center - E Concord St at Harrison Ave",42.336437,-71.073089,3224,"Subscriber",1992,1
"223",627,"2018-10-01 06:19:29.2750","2018-10-01 06:29:57.1950",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,30,"Brigham Circle - Francis St at Huntington Ave",42.3346289305598,-71.1040791776759,2560,"Subscriber",1989,1
"289",1175,"2018-10-01 06:35:44.2190","2018-10-01 06:55:20.1010",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,2875,"Subscriber",1992,1
"295",264,"2018-10-01 06:37:43.4200","2018-10-01 06:42:08.3050",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,13,"Boston Medical Center - E Concord St at Harrison Ave",42.336437,-71.073089,2244,"Subscriber",1988,1
"329",227,"2018-10-01 06:47:13.8720","2018-10-01 06:51:01.6400",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,3583,"Subscriber",1992,1
"355",1331,"2018-10-01 06:51:23.6490","2018-10-01 07:13:35.5070",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,24,"Seaport Square - Seaport Blvd at Northern Ave",42.3514819346086,-71.0443608462811,3111,"Subscriber",1996,2
"578",271,"2018-10-01 07:26:32.8660","2018-10-01 07:31:04.3110",57,"Columbus Ave at Massachusetts Ave",42.3405426155164,-71.0813884791423,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3644,"Subscriber",1995,1
