"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"190164",538,"2018-10-30 17:05:40.1900","2018-10-30 17:14:38.4770",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,222,"Troy Boston",42.343749,-71.062256,3857,"Subscriber",1989,2
"190873",1342,"2018-10-30 17:52:07.8190","2018-10-30 18:14:30.2560",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,2839,"Subscriber",1993,2
"190951",976,"2018-10-30 17:58:53.1110","2018-10-30 18:15:09.6770",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,205,"Bowdoin St at Quincy St",42.307852242385,-71.0651224851608,2236,"Subscriber",1990,2
"191598",387,"2018-10-30 18:59:25.8340","2018-10-30 19:05:53.6910",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,2969,"Subscriber",1997,1
"191822",1213,"2018-10-30 19:31:29.2120","2018-10-30 19:51:43.1060",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,3455,"Subscriber",1995,2
"192295",968,"2018-10-30 21:20:42.9330","2018-10-30 21:36:51.6760",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,45,"Jersey St. at Boylston St.",42.3446808403874,-71.0978534817696,4023,"Customer",1969,0
"193107",553,"2018-10-31 07:38:59.3810","2018-10-31 07:48:12.8900",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,3,"Colleges of the Fenway - Fenway at Avenue Louis Pasteur",42.3401151224924,-71.1006188392639,2831,"Subscriber",1992,1
"193136",261,"2018-10-31 07:41:09.0470","2018-10-31 07:45:30.2840",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,13,"Boston Medical Center - E Concord St at Harrison Ave",42.336437,-71.073089,3377,"Subscriber",1993,1
"193184",795,"2018-10-31 07:44:49.2650","2018-10-31 07:58:05.0120",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,80,"MIT Stata Center at Vassar St / Main St",42.3621312344991,-71.0911560058594,3033,"Subscriber",1988,1
"193202",961,"2018-10-31 07:46:49.6070","2018-10-31 08:02:50.7920",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,144,"Rogers St & Land Blvd",42.3657579821484,-71.0769939422607,3601,"Subscriber",1977,1
"193379",334,"2018-10-31 08:04:30.6150","2018-10-31 08:10:04.8430",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3561,"Subscriber",1989,1
"193718",433,"2018-10-31 08:27:34.9500","2018-10-31 08:34:48.7640",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,4,"Tremont St at E Berkeley St",42.345392,-71.069616,2709,"Subscriber",1987,1
"193720",990,"2018-10-31 08:27:41.4270","2018-10-31 08:44:12.1670",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,184,"Sidney Research Campus/ Erie Street at Waverly",42.357753094652,-71.1039340496063,3451,"Subscriber",1997,1
"193791",1010,"2018-10-31 08:33:31.0500","2018-10-31 08:50:21.4840",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,9,"Commonwealth Ave at Agganis Way",42.3516920188597,-71.1190348863602,3455,"Subscriber",1989,1
"193894",363,"2018-10-31 08:41:02.4920","2018-10-31 08:47:06.0620",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,2748,"Subscriber",1995,2
"193982",1670,"2018-10-31 08:48:58.9290","2018-10-31 09:16:49.5640",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,74,"Harvard Square at Mass Ave/ Dunster",42.373268,-71.118579,2761,"Subscriber",1991,1
"194001",554,"2018-10-31 08:50:18.0940","2018-10-31 08:59:32.8020",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,50,"Boylston St at Berkeley St",42.3511419825475,-71.0732924938202,2246,"Subscriber",1973,1
"194129",1005,"2018-10-31 08:59:00.6650","2018-10-31 09:15:45.7460",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,144,"Rogers St & Land Blvd",42.3657579821484,-71.0769939422607,4191,"Subscriber",1991,2
"194132",1012,"2018-10-31 08:59:19.0950","2018-10-31 09:16:11.9760",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,84,"CambridgeSide Galleria - CambridgeSide PL at Land Blvd",42.366981,-71.076472,3299,"Subscriber",1990,1
"194247",434,"2018-10-31 09:10:32.4580","2018-10-31 09:17:47.3320",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,55,"Boylston St at Massachusetts Ave",42.347265,-71.088088,3223,"Subscriber",1981,1
"194278",697,"2018-10-31 09:13:20.8150","2018-10-31 09:24:58.1710",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,59,"Chinatown Gate Plaza",42.351356,-71.059367,1535,"Subscriber",1997,2
"194752",1475,"2018-10-31 10:27:10.7530","2018-10-31 10:51:45.7900",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,81,"Chinatown T Stop",42.352409,-71.062679,3797,"Subscriber",1995,1
"195246",423,"2018-10-31 11:49:19.1790","2018-10-31 11:56:23.1120",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,2587,"Subscriber",1987,1
"196058",455,"2018-10-31 13:53:21.2320","2018-10-31 14:00:57.0720",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,52,"Newbury St at Hereford St",42.348717,-71.085954,2726,"Subscriber",1992,2
"196878",286,"2018-10-31 15:53:11.0010","2018-10-31 15:57:57.1940",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,21,"Prudential Center - Belvedere St",42.3465200399841,-71.0806577654512,4006,"Subscriber",1998,1
"198786",616,"2018-10-31 18:32:25.1840","2018-10-31 18:42:41.8950",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,3830,"Subscriber",1981,2
"199160",583,"2018-10-31 19:17:57.6980","2018-10-31 19:27:40.9430",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,222,"Troy Boston",42.343749,-71.062256,3808,"Subscriber",1989,2
"200103",571,"2018-11-01 00:01:05.5240","2018-11-01 00:10:37.2020",364,"Tremont St at Northampton St",42.3388955964417,-71.0814997561101,359,"One Brigham Circle",42.33392270137,-71.1044650898293,3180,"Subscriber",1997,2
