,hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,383,158,541,0.010461384,0.009157467
2,1:00,265,137,402,0.007773524,0.005991326
3,2:00,146,101,247,0.004776269,0.004081631
4,3:00,42,41,83,0.001604981,0.001629059
5,4:00,33,13,46,0.000889508,0.001226072
6,5:00,88,18,106,0.002049735,0.004716913
7,6:00,493,38,531,0.010268013,0.015358842
8,7:00,1749,76,1825,0.03529025,0.042211362
9,8:00,2411,185,2596,0.050199172,0.08659466
10,9:00,2369,165,2534,0.049000271,0.062567325
11,10:00,1389,229,1618,0.031287466,0.039552163
12,11:00,1558,263,1821,0.035212902,0.041881529
13,12:00,1884,359,2243,0.043373168,0.05114124
14,13:00,2090,397,2487,0.048091426,0.052448166
15,14:00,2008,459,2467,0.047704683,0.0514638
16,15:00,2390,596,2986,0.057740651,0.058056612
17,16:00,3358,684,4042,0.078160653,0.079465816
18,17:00,6211,902,7113,0.137544959,0.112944088
19,18:00,5207,757,5964,0.115326604,0.093224262
20,19:00,3791,673,4464,0.086320919,0.066680185
21,20:00,2567,508,3075,0.059461654,0.046199305
22,21:00,1725,356,2081,0.040240554,0.033278489
23,22:00,1205,302,1507,0.029141045,0.023908407
24,23:00,723,212,935,0.01808021,0.016221285
