,hour,subscriber,customer,total,pct,all_boston_pct
1,0:00,235,112,347,0.006634038,0.008042195
2,1:00,142,74,216,0.004129545,0.005585772
3,2:00,84,57,141,0.002695675,0.003447633
4,3:00,38,30,68,0.001300042,0.00119142
5,4:00,153,16,169,0.003230987,0.00131976
6,5:00,881,67,948,0.018124116,0.005836035
7,6:00,2103,98,2201,0.042079303,0.018838988
8,7:00,4177,271,4448,0.085038045,0.051676844
9,8:00,6307,381,6688,0.12786296,0.090267315
10,9:00,2894,276,3170,0.060604902,0.055093247
11,10:00,1655,372,2027,0.038752724,0.040248192
12,11:00,1995,405,2400,0.045883837,0.045239751
13,12:00,1963,499,2462,0.04706917,0.052957247
14,13:00,1909,558,2467,0.047164761,0.052552976
15,14:00,1654,497,2151,0.041123389,0.052788266
16,15:00,2007,537,2544,0.048636868,0.060224697
17,16:00,2579,544,3123,0.059706343,0.086208357
18,17:00,4046,660,4706,0.089970558,0.114428978
19,18:00,3898,708,4606,0.088058731,0.085854139
20,19:00,2390,594,2984,0.057048905,0.060153683
21,20:00,1447,340,1787,0.034164341,0.041441751
22,21:00,1021,250,1271,0.024299316,0.030371167
23,22:00,621,180,801,0.015313731,0.022137746
24,23:00,398,183,581,0.011107712,0.01409384
