"","yearmonth","subscriber","customer","male","female","unreported","age"
"1","Oct-2018",166241,33859,134067,46991,19042,34.869936865468
"2","Nov-2018",107626,13793,85108,28077,8234,34.5323019129059
"3","Dec-2018",74333,7628,58954,18119,4888,35.3091042226019
"4","Jan-2019",65090,4782,52134,14476,3262,35.7132510806401
"5","Feb-2019",73691,6775,59541,16389,4536,34.9378293725763
"6","Mar-2019",87846,14523,71803,21296,9270,35.5255073624967
"7","Apr-2019",131880,34814,108715,36795,21184,35.3796774116122
"8","May-2019",171087,51997,142125,50811,30148,35.5661490460479
"9","Jun-2019",200375,73647,169448,65270,39304,34.869549983576
"10","Jul-2019",234906,82025,197689,78707,40535,34.1655894772055
"11","Aug-2019",250152,87291,210825,83149,43469,34.3183633651887
"12","Sep-2019",281024,82161,233011,89258,40916,33.5836689161273
