yearmonth,male,female,unreported,subscriber,customer,age
2018-10,134067,46991,19042,166241,33859,34.89162419
2018-11,85108,28077,8234,107626,13793,34.55640386
2018-12,58954,18119,4888,74333,7628,35.33262161
2019-01,52134,14476,3262,65090,4782,35.71967312
2019-02,59541,16389,4536,73691,6775,34.94627545
2019-03,71803,21296,9270,87846,14523,35.54576092
2019-04,108715,36795,21184,131880,34814,35.39966046
2019-05,142125,50811,30148,171087,51997,35.5703726
2019-06,169448,65270,39304,200375,73647,34.87941479
2019-07,197689,78707,40535,234906,82025,34.18119086
2019-08,210825,83149,43469,250152,87291,34.36583956
2019-09,233011,89258,40916,281024,82161,33.61611851
