"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"491",1393,"2018-10-01 07:14:27.3500","2018-10-01 07:37:40.3880",88,"Inman Square at Vellucci Plaza / Hampshire St",42.374035,-71.101427,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3543,"Subscriber",1975,2
"775",1330,"2018-10-01 07:42:35.7280","2018-10-01 08:04:45.9590",125,"Hyde Square - Barbara St at Centre St",42.3217652572395,-71.1098416056711,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2048,"Subscriber",1994,2
"1264",630,"2018-10-01 08:15:27.8030","2018-10-01 08:25:58.4120",27,"Roxbury Crossing T Stop - Columbus Ave at Tremont St",42.331184,-71.095171,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3979,"Subscriber",1992,2
"1837",869,"2018-10-01 08:52:12.2350","2018-10-01 09:06:41.4170",177,"University Park",42.3626477911859,-71.1000609397888,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,1066,"Subscriber",1992,1
"2874",313,"2018-10-01 11:30:58.9740","2018-10-01 11:36:12.9580",42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2563,"Subscriber",1985,1
"3092",532,"2018-10-01 12:10:22.2210","2018-10-01 12:19:14.9400",35,"Arch St at Franklin St",42.3553350194126,-71.0582291708306,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3942,"Subscriber",1994,1
"3361",1399,"2018-10-01 12:51:06.2510","2018-10-01 13:14:25.7360",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3514,"Subscriber",1982,1
"3664",697,"2018-10-01 13:44:38.6590","2018-10-01 13:56:15.8930",54,"Tremont St at West St",42.354979,-71.063348,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2283,"Subscriber",1992,1
"4581",1042,"2018-10-01 16:33:21.4350","2018-10-01 16:50:44.4240",68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2698,"Subscriber",1990,1
"4582",566,"2018-10-01 16:33:23.6720","2018-10-01 16:42:49.8360",33,"Kenmore Square",42.348706,-71.097009,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,608,"Subscriber",1998,1
"5120",386,"2018-10-01 17:34:37.0500","2018-10-01 17:41:03.4590",42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3467,"Subscriber",1985,1
"5177",658,"2018-10-01 17:39:41.3470","2018-10-01 17:50:39.4770",59,"Chinatown Gate Plaza",42.351356,-71.059367,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3958,"Subscriber",1990,1
"5478",510,"2018-10-01 18:11:15.3600","2018-10-01 18:19:45.5510",42,"Boylston St at Arlington St",42.3520426222971,-71.0704493522644,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,2982,"Subscriber",1982,1
"5592",787,"2018-10-01 18:26:38.8880","2018-10-01 18:39:46.8770",61,"Boylston St at Fairfield St",42.348762,-71.082383,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,3791,"Subscriber",1994,2
"5633",270,"2018-10-01 18:31:59.6120","2018-10-01 18:36:30.0360",16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,4088,"Subscriber",1986,1
