"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"162",1109,"2018-10-01 05:42:26.8390","2018-10-01 06:00:56.5150",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,95,"Cambridge St - at Columbia St / Webster Ave",42.372969,-71.094445,3615,"Subscriber",1964,1
"240",226,"2018-10-01 06:23:47.7330","2018-10-01 06:27:34.1530",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3380,"Subscriber",1959,1
"380",320,"2018-10-01 06:56:19.9090","2018-10-01 07:01:40.3690",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,4048,"Subscriber",1990,2
"390",630,"2018-10-01 06:57:37.9630","2018-10-01 07:08:08.2840",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,192,"Purchase St at Pearl St",42.354659,-71.053181,2108,"Subscriber",1986,1
"614",718,"2018-10-01 07:30:10.1620","2018-10-01 07:42:08.8420",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,64,"Congress St at Sleeper St",42.3510044959467,-71.049300134182,3830,"Subscriber",1988,1
"646",465,"2018-10-01 07:32:31.2640","2018-10-01 07:40:16.6540",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,812,"Subscriber",1989,2
"752",587,"2018-10-01 07:41:03.0060","2018-10-01 07:50:50.5220",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,54,"Tremont St at West St",42.354979,-71.063348,2722,"Subscriber",1985,1
"883",1042,"2018-10-01 07:51:15.8840","2018-10-01 08:08:38.1300",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,189,"Kendall T",42.3624278429124,-71.0849547386169,2165,"Subscriber",1993,2
"917",882,"2018-10-01 07:53:59.4900","2018-10-01 08:08:41.6420",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,192,"Purchase St at Pearl St",42.354659,-71.053181,2167,"Customer",1981,1
"970",251,"2018-10-01 07:57:23.0000","2018-10-01 08:01:34.5630",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,3543,"Subscriber",1991,1
"1008",962,"2018-10-01 07:59:20.5800","2018-10-01 08:15:23.5220",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,2207,"Subscriber",1985,1
"1048",524,"2018-10-01 08:02:12.5250","2018-10-01 08:10:56.7570",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,33,"Kenmore Square",42.348706,-71.097009,2257,"Subscriber",1998,1
"1057",273,"2018-10-01 08:02:55.8860","2018-10-01 08:07:29.5150",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,16,"Back Bay T Stop - Dartmouth St at Stuart St",42.3480741231744,-71.0765701532364,2995,"Subscriber",1987,1
"1060",888,"2018-10-01 08:03:12.3230","2018-10-01 08:18:01.2850",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,23,"Boston City Hall - 28 State St",42.35892,-71.057629,3244,"Subscriber",1954,1
"1117",872,"2018-10-01 08:06:43.0990","2018-10-01 08:21:15.4630",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,189,"Kendall T",42.3624278429124,-71.0849547386169,2170,"Subscriber",1964,1
"1128",942,"2018-10-01 08:07:19.3200","2018-10-01 08:23:02.0820",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,2048,"Customer",1990,1
"1657",1204,"2018-10-01 08:40:09.0530","2018-10-01 09:00:13.9020",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,117,"Binney St / Sixth St",42.3661622345992,-71.08688293667,3979,"Subscriber",1988,1
"2090",776,"2018-10-01 09:11:54.8480","2018-10-01 09:24:51.1010",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,141,"Kendall Street",42.3635601584299,-71.0821679234505,1066,"Subscriber",1965,1
"2693",192,"2018-10-01 10:54:18.1640","2018-10-01 10:57:30.8330",25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,21,"Prudential Center - Belvedere St",42.3465200399841,-71.0806577654512,4045,"Subscriber",1980,1
