"","end_hour","subscriber","customer","total"
"1","00:00",101,30,131
"2","01:00",57,32,89
"3","02:00",44,34,78
"4","03:00",8,15,23
"5","04:00",5,4,9
"6","05:00",66,8,74
"7","06:00",329,14,343
"8","07:00",1101,31,1132
"9","08:00",1370,57,1427
"10","09:00",1350,62,1412
"11","10:00",646,78,724
"12","11:00",583,96,679
"13","12:00",783,111,894
"14","13:00",750,124,874
"15","14:00",739,119,858
"16","15:00",714,196,910
"17","16:00",1204,158,1362
"18","17:00",2117,284,2401
"19","18:00",1939,228,2167
"20","19:00",1440,206,1646
"21","20:00",916,134,1050
"22","21:00",597,101,698
"23","22:00",335,88,423
"24","23:00",214,53,267
